828423666203504646 ([], [8023702])
2312117814 ([], [8023702])
1264592135174721536 ([], [8023702])
823057398 ([], [8023702])
3559987877 ([], [8023702])
98419874 ([], [8023702])
1406705683085631488 ([8023702], [])
803694179079458816 ([8023702], [])
1351284403801108481 ([8023702], [])
822215673812119553 ([8023702], [])
2844721319 ([8023702], [])
969943029112025089 ([], [828423666203504646])
2200662829 ([], [828423666203504646])
1087758272466178048 ([], [828423666203504646])
1441687339168792581 ([], [828423666203504646])
1621071430048940032 ([828423666203504646], [])
78360683 ([828423666203504646], [])
1079540152651771904 ([828423666203504646], [])
18963070 ([828423666203504646], [])
865652439726178304 ([828423666203504646], [])
63410034 ([828423666203504646], [])
822517901294845953 ([828423666203504646], [])
3160175450 ([828423666203504646], [])
27193779 ([828423666203504646], [])
1362890582230786059 ([828423666203504646], [])
850421186 ([828423666203504646], [])
2202005515 ([828423666203504646], [])
1415689234904752134 ([828423666203504646], [])
1528885967561576449 ([], [2312117814])
1596451741482242048 ([], [2312117814])
51850045 ([2312117814], [])
935142655213703168 ([2312117814], [])
1085560487297908737 ([2312117814], [])
1494325249956929546 ([2312117814], [])
1572446416496099329 ([2312117814], [])
1168178794932375553 ([2312117814], [])
835132295786938368 ([2312117814], [])
746219976952995841 ([2312117814], [])
3384723160 ([2312117814], [])
1578484282611343360 ([], [1264592135174721536])
1569508443651985408 ([], [1264592135174721536])
15639138 ([1264592135174721536], [])
71876190 ([1264592135174721536], [])
1455640911367446531 ([1264592135174721536], [])
84447226 ([1264592135174721536], [])
43736146 ([1264592135174721536], [])
394953878 ([1264592135174721536], [])
887464646 ([1264592135174721536], [])
750865456081301505 ([1264592135174721536], [])
506422055 ([], [823057398])
1266494077878431744 ([], [823057398])
772383314686517249 ([], [823057398])
965379709075894272 ([], [823057398])
1121540744186138626 ([], [823057398])
1568385745789898754 ([], [823057398])
327006351 ([823057398], [])
49627545 ([823057398], [])
1297992682149539840 ([823057398], [])
15832195 ([823057398], [])
1526676538581729281 ([823057398], [])
1289755919350468608 ([823057398], [])
164293419 ([823057398], [])
1159968465807183872 ([823057398], [])
2910979787 ([823057398], [])
50085192 ([823057398], [])
48524141 ([823057398], [])
1362621998304755714 ([823057398], [])
819770239021744128 ([823057398], [])
33913156 ([823057398], [])
1379253353130172417 ([823057398], [])
366234806 ([823057398], [])
15934076 ([823057398], [])
568545739 ([823057398], [])
